paper_id,Paper,Year,Category,Link,local_file,pages_sections,review_status,delta_category,Cancer_cohort,N,Assay,Input_datatype,Ground_truth_HRD_definition,HRD_calculation_method,LOH_definition,LST_definition,TAI_definition,Upstream_allele_specific_CN_method,Purity_ploidy_correction,CNV_method,Methylation_preprocessing,Raw_IDAT_MU_requirement,RNA_preprocessing,Model_class,Feature_selection,Training_strategy,Validation_strategy,Cross_validation_design,External_validation,Performance_metrics,Calibration_uncertainty,Single_sample_compatible,Cross_cancer_compatible,Code_software,Synthetic_data_relevance,Major_strengths,Major_limitations,Direct_relevance_KIDS26,Implementation_ideas,documented_fact,inference,recommendation
L52,Robust methylation-based classification of brain tumours using nanopore sequencing.,2023,Pediatric / nanopore,https://pubmed.ncbi.nlm.nih.gov/36269599/,../papers/Neuropathology Appl Neurobio - 2022 - Kuschel - Robust methylation‐based classification of brain tumours using nanopore.pdf,Methods pp. 3-7; Results pp. 7-12,Newly available 2026-09-10; full relevant methods/results reviewed,REFINES CURRENT PLAN,Brain tumors across 46 methylation classes,"382 tumors; 191/191 initial split, yielding 185 discovery and 184 validation after exclusions",450K/EPIC reference arrays plus nanopore methylation calls,Binarized methylation allele frequencies at shared CpGs,"Brain tumor methylation class, not HRDsum",Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not central,"Shared CpGs; binarized methylation allele frequency; platform threshold 0.15; at least 1,000 shared CpGs",Nanopore methylation calls are primary input; array references do not establish an IDAT requirement for this cross-platform classifier,Not established in reviewed material,Random forest classifier,Shared CpGs and empirical platform-difference filters,Discovery training with fixed validation,Independent internal validation and small cross-laboratory series,Fixed split rather than nested CV,Cross-laboratory testing classified 10/11 samples,"Among 148 classifiable validation samples, sensitivity 80.4% and specificity 100%",Allows unclassifiable results; reported scores are not calibrated probabilities,"Yes, with minimum overlap and unclassifiable outcomes",Broad CNS classes only; no HRD regression,Nanopore classification workflow described,Not established in reviewed material,"Explicit minimum overlap, independent validation, cross-lab check, and abstention",Diagnostic endpoint; scores are not calibrated probabilities; small external series,Strengthens explicit OOD/abstention and feature-coverage checks,Record bridge coverage and abstain below prespecified coverage/OOD thresholds,"The method required at least 1,000 shared CpGs and allowed samples to remain unclassified; specificity was 100% among classifiable validation samples.",A KIDS26 n-of-1 system should expose coverage and abstention rather than force every prediction.,Predeclare OOD and feature-coverage diagnostics before PBTP application.
L53,Rapid DNA methylation-based classification of pediatric brain tumors from ultrasonic aspirate specimens.,2024,Pediatric / nanopore,https://pubmed.ncbi.nlm.nih.gov/38769169/,../papers/2024_Rapid_DNA_methylation_based_classification_of_pediatric_brain_tumors_from_ultrason.pdf,"pp. 1,8-9",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Pediatric CNS aspirates,19,Nanopore and EPIC,Not established in reviewed material,"Routine diagnosis,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,17/19 class concordance;18/19 CN profile match,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Cross-platform design,Not established in reviewed material,Pilot cross-assay study derives platform-specific confidence threshold.,Same-cohort cutoff selection limits external calibration claims.,Predeclare PBTP thresholds.
L54,Rapid brain tumor classification from sparse epigenomic data.,2025,Pediatric / nanopore,https://pubmed.ncbi.nlm.nih.gov/40021833/,../papers/2025_Rapid_brain_tumor_classification_from_sparse_epigenomic_data.pdf,"pp. 1-3,7,11,15",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,CNS,2801 reference;>200 evaluation;10 near-operating-room,450K and nanopore,Not established in reviewed material,"Subtype,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Naive Bayesian MethyLYZR,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Fixed inference,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Parsimony,Not established in reviewed material,A simple probabilistic classifier enables rapid sparse methylation classification.,Large feature space does not itself justify neural networks.,Regularized baseline first.
L55,"Prospective, multicenter validation of a platform for rapid molecular profiling of central nervous system tumors.",2025,Pediatric / clinical,https://pubmed.ncbi.nlm.nih.gov/40133526/,../papers/2025_Prospective_multicenter_validation_of_a_platform_for_rapid_molecular_profiling_of_.pdf,"pp. 1-2,12",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Multicenter CNS,301 Rapid-CNS2;>78000 MNP-Flex validation,"Nanopore,multiple methylation platforms",Not established in reviewed material,"CNS subtype,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Rapid-CNS2 ad hoc forest;MNP-Flex classifier,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Operational yes; ad hoc forest retraining differs from frozen model,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Precise inference contract,Not established in reviewed material,Large diagnostic validation; Rapid-CNS2 methods include sample-specific forest retraining.,Single-sample has different operational meanings.,Require unchanged model weights in KIDS26.
L56,Nanopore-based random genomic sampling for intraoperative molecular diagnosis.,2025,Pediatric / CNV + methylation,https://pubmed.ncbi.nlm.nih.gov/39833913/,../papers/2025_Nanopore_based_random_genomic_sampling_for_intraoperative_molecular_diagnosis.pdf,"pp. 1,11,16",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Brain/metastatic tumors,26 retrospective,Nanopore iSCORED,Not established in reviewed material,"Diagnosis,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Multi-view precedent,Not established in reviewed material,Combines CN and methylation for intraoperative molecular diagnosis.,Fusion benefit for HRD remains unproven.,Evaluate fusion on identical paired samples.
L57,TUCAN: Ultra-fast methylation-based classification of pediatric solid tumors and lymphomas.,2026,Pediatric / new classifier,https://www.medrxiv.org/content/10.64898/2026.03.24.26348466v1,../papers/2026_TUCAN_Ultra_fast_methylation_based_classification_of_pediatric_solid_tumors_and.pdf,"pp. 2,4,6,13-14,40;preprint v1",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Pediatric solid tumors/lymphomas,"3818 arrays;514 retrospective nanopore;74 prospective,63 classifiable","450K/EPIC/EPICv2,nanopore",Not established in reviewed material,"Subtype,not HRD",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Neural ensemble,353232 common probes for study manifests,Not established in reviewed material,Not established in reviewed material,Four folds; train/validation/test; separate simulation seeds,Not established in reviewed material,52 prospective above threshold;96% accuracy among these,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Sparse assay simulation,Not established in reviewed material,Not established in reviewed material,Platform/abstention design,Not established in reviewed material,TUCAN is a preprint with platform intersection and real validation plus rejection.,Distinct simulation seeds do not replace original-donor partitioning.,Use manifest-specific intersection; report coverage with conditional accuracy.
L58,M-PACT: deep-learning classification of pediatric CNS tumors from cell-free DNA methylation profiles.,2026,Pediatric / resource,https://datacatalog.ccdi.cancer.gov/resource/M-PACT,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Pediatric / resource,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L59,Artificial intelligence-generated synthetic data for cancer research and clinical trials.,2026,Synthetic data,https://pubmed.ncbi.nlm.nih.gov/41720945/,../papers/s41568-026-00912-4.pdf,"Sections on molecular generators, validation, and open challenges throughout",Newly available 2026-09-10; methods-relevant sections reviewed,CONFIRMS CURRENT PLAN,Review across synthetic biomedical data domains,Review,Multiple omics and biomedical modalities,Review of synthetic-data generators and evaluations,Absent,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Mechanistic and generative approaches discussed generally,No single methylation-array workflow prescribed,Varies; no specific methylation-array generator prescribed,Not established in reviewed material,"Review of interpolation, VAE, GAN, diffusion, and related generators",Varies,Varies,"Separates fidelity, utility, and privacy assessment",No universal standard; validation standardization unresolved,Varies,"Non-equivalent fidelity, utility, and privacy measures",Emphasizes multidimensional evaluation; no KIDS26-ready uncertainty method,Not directly addressed for KIDS26,Not established,Multiple reviewed tools,"High; realistic appearance, downstream utility, and privacy are distinct claims",Current broad synthesis of generator families and evaluation requirements,No methylation-to-HRD transfer benchmark or pediatric augmentation evidence,Supports deferral until the real-data baseline and transfer problem are measured,Not established in reviewed material,"The review treats fidelity, utility, and privacy as separate dimensions and notes limited standardization.",A three-day generator adds several new claims without resolving cross-cancer transfer.,"Keep augmentation gated, with untouched real validation only."
L60,In silico generation of synthetic cancer genomes using generative AI.,2025,Synthetic data,https://pubmed.ncbi.nlm.nih.gov/40803317/,../papers/2025_In_silico_generation_of_synthetic_cancer_genomes_using_generative_AI.pdf,"pp. 1-4,12",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Eight cancer profiles,Not established in reviewed material,Genomic variants/CNA/SV,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,OncoGAN GAN/TVAE/sampling ensemble,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,https://github.com/LincolnSteinLab/oncoGAN,"Synthetic genomes,not methylomes",Not established in reviewed material,Not established in reviewed material,Synthetic benchmarks,Not established in reviewed material,Factorized generator ensemble evaluates genomic patterns and downstream classification; subclonal representation limited.,Joint CpG-intensity-allelic-CN covariance is not established.,Post-hackathon engineering inspiration only.
L61,Multi-omics data integration and drug screening of AML cancer using Generative Adversarial Network.,2024,Synthetic data / multi-omics,https://pubmed.ncbi.nlm.nih.gov/38670415/,../papers/1-s2.0-S1046202324001075-main.pdf,Methods pp. 4-8; Results pp. 8-12,Newly available 2026-09-10; full relevant methods/results reviewed,INTERESTING BUT NOT HACKATHON-CRITICAL,TCGA acute myeloid leukemia,173 cases,Gene expression and DNA methylation,Paired high-dimensional expression and methylation features,AML classification; no HRDsum,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent,Study-specific; no 450K-to-EPIC transfer analysis,Processed omics features; no raw-IDAT single-sample workflow,Not established in reviewed material,Wasserstein GAN-based multi-omics generator and classifier,Study-specific dimensionality reduction/selection,Training/validation/test; generator update selected among five candidates; 50 trials,Internal test comparisons of real and synthetic-assisted training,"Repeated trials, not cancer-held-out or external transfer",Absent,Methylation AUC about 0.636 real-only and 0.732 synthetic-assisted,Repeated trial variation reported; no external calibration or individual interval,No frozen n-of-1 array pipeline,No; single AML cohort,omicsGAN described,"Direct omics generator example, but no HRD target or external cohort",Paired multi-omics generation with repeated internal evaluation,"Small single-cancer cohort, internal validation, tuning burden, no platform transfer, no HRDsum",Insufficient evidence to move GAN augmentation into the critical path,Not established in reviewed material,omicsGAN was evaluated on 173 TCGA AML cases with internal splits and repeated trials.,An internal AML AUC gain does not demonstrate pediatric or cancer-held-out HRDsum transfer.,Defer GAN/VAE/diffusion; any later augmentation must use identical untouched real validation.
L62,Performance analysis of data resampling on class imbalance and classification techniques on multi-omics data for cancer classification.,2024,Synthetic data / augmentation,https://pubmed.ncbi.nlm.nih.gov/38422094/,../papers/2024_Performance_analysis_of_data_resampling_on_class_imbalance_and_classification_te.pdf,pp. 1-5,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,TCGA LIHC/BRCA/COAD tumor-vs-normal,403/841/295,"RNA,CNV,methylation",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,18 classifiers;5 imbalance methods,PCA described before model evaluation,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"High binary tumor-vs-normal AUC,not HRD regression",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,SMOTE k=5 and undersampling,Not established in reviewed material,Not established in reviewed material,Leakage audit,Not established in reviewed material,SMOTE benefits reported on tumor-vs-normal tasks; reviewed text does not establish complete train-fold nesting.,Endpoint ease and unresolved leakage preclude borrowing accuracy claims.,Real-only primary; nested augmentation only.
L63,Opportunities and Challenges of Synthetic Data Generation in Oncology.,2023,Synthetic data / oncology,https://pubmed.ncbi.nlm.nih.gov/37535875/,../papers/jacobs-et-al-2023-opportunities-and-challenges-of-synthetic-data-generation-in-oncology.pdf,"Review sections on synthetic-data approaches, opportunities, and validation challenges",Newly available 2026-09-10; relevance review completed,INTERESTING BUT NOT HACKATHON-CRITICAL,Narrative review across cancers,Review,"Multiple imaging, clinical, and molecular modalities",Review of synthetic-data applications,Absent,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,No validated methylation-HRD method,No KIDS26-ready protocol,Absent from reviewed paper or not reported,Not established in reviewed material,Review of synthetic-data generators including deep generative methods,Varies,Varies,Varies,No new experiment,No new experiment,Not applicable,Absent from reviewed paper or not reported,Not established for KIDS26,Not established,No single implementation,General oncology opportunities and validation context,Broad discussion of synthetic oncology data,No direct methylation-to-HRDsum evidence or hackathon benchmark,Future directions only,Not established in reviewed material,The article reviews opportunities and challenges for synthetic data generation in oncology.,Complex representation learning adds tuning and leakage risk without evidence of better cancer-held-out HRD prediction.,Defer neural representation models until the baseline and transfer benchmark are fixed.
L64,Genome-wide methylome modeling via generative AI incorporating long- and short-range interactions.,2025,Synthetic methylomes,https://pubmed.ncbi.nlm.nih.gov/40215314/,../papers/2025_Genome_wide_methylome_modeling_via_generative_AI_incorporating_long_and_short_ra.pdf,"pp. 1-2,7-9",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,AML training;MDS and cross-assay tests,26 AML WGBS;93 MDS ERRBS;14 datasets overall,"WGBS/ERRBS/scRRBS/450K,sequence/Hi-C",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"DiffuCpG diffusion,1D U-Net",Not established in reviewed material,2.6 million 1 kb windows;26 independent training donors,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"Methylation inpainting,not HRD-conditioned patients",Not established in reviewed material,Not established in reviewed material,Correct generative scope,Not established in reviewed material,Imputes methylation using local/long-range context; millions of windows are not patients.,Imputation quality is not evidence of HRD transfer or label fidelity.,Defer; train-fold median imputation and dropout tests for MVP.
L65,Deep learning detects genetic alterations in cancer histology generated by adversarial networks.,2021,Synthetic data / pathology,https://pubmed.ncbi.nlm.nih.gov/33565124/,../papers/The Journal of Pathology - 2021 - Krause - Deep learning detects genetic alterations in cancer histology generated by.pdf,Methods pp. 3-7; Results pp. 7-11,Newly available 2026-09-10; full relevant methods/results reviewed,INTERESTING BUT NOT HACKATHON-CRITICAL,Cancer histology images with genetic labels,"1,457 training images; 256 generator-related subset reported; 142 held-out test images",Histopathology images,Real and conditional-GAN synthetic image tiles,Genetic alteration classification; no HRDsum,Absent,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent,Absent,Absent from reviewed paper or not reported,Not established in reviewed material,Conditional GAN plus convolutional classifier,Learned image representations,"Real, synthetic, and combined-image training comparisons",Held-out real test images,Study-specific train/test evaluation,No methylation or PBTP validation,"AUC about 0.742 real-only, 0.743 synthetic-only, and 0.777 combined",Absent from reviewed paper or not reported,Image-level inference only,Not relevant to methylation transfer,Conditional GAN/deep-learning stack described,Modest augmentation result in a different modality,Uses an untouched real test set for augmentation comparison,"Different modality, target, and sample geometry; no methylation evidence","Supports real-only validation design, not image-GAN transfer",Not established in reviewed material,Combined real and synthetic histology training modestly improved held-out real-image AUC.,The evaluation design transfers to KIDS26; the generator architecture does not.,Any later augmentation comparison must use identical untouched real validation sets.
L66,Synthesis of diagnostic quality cancer pathology images by generative adversarial networks.,2020,Synthetic data / pathology,https://pubmed.ncbi.nlm.nih.gov/32686118/,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Synthetic data / pathology,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L67,Integrated genomic analyses of ovarian carcinoma.,2011,TCGA / ovarian,https://pubmed.ncbi.nlm.nih.gov/?term=Integrated+genomic+analyses+of+ovarian+carcinoma,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,TCGA / ovarian,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L68,Comprehensive molecular portraits of human breast tumours.,2012,TCGA / breast,https://pubmed.ncbi.nlm.nih.gov/?term=Comprehensive+molecular+portraits+of+human+breast+tumours,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,TCGA / breast,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L69,The Cancer Genome Atlas Pan-Cancer analysis project.,2013,TCGA / pan-cancer,https://pubmed.ncbi.nlm.nih.gov/?term=The+Cancer+Genome+Atlas+Pan-Cancer+analysis+project,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,TCGA / pan-cancer,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L70,Genomic signatures of homologous recombination deficiency predict response to PARP inhibition in chordoma,2019,Additional locally supplied evidence,https://doi.org/10.1038/s41467-019-09633-9,../papers/41467_2019_Article_9633.pdf,Main text pp. 1-10; Methods pp. 10-15,Newly available 2026-09-10; locally present but absent from the original 69-row matrix,INTERESTING BUT NOT HACKATHON-CRITICAL,Advanced chordoma,"11 patients; WES for 9 and WGS for 2, with matched blood",Matched tumor-normal whole-exome or whole-genome sequencing,Somatic mutations and allele-aware copy-number states,Mutational signature 3 plus genomic scars and clinical PARP-inhibitor response,LOH and LST-like measures; no methylation-derived canonical HRDsum,Copy-neutral and non-copy-neutral LOH regions greater than 15 Mb; whole-chromosome handling follows the study implementation,Breaks between segments greater than 10 Mb after filtering small segments,Absent,Matched tumor-normal WES/WGS allele-specific copy-number analysis,Not reported in sufficient detail in the reviewed main article,Allele-aware sequencing CN with matched normal,Absent,No methylation-array input; matched sequencing required,Not established in reviewed material,Genomic characterization and therapeutic observation,Prespecified HRD signatures and scars,No predictive model training,Cohort survey plus olaparib response and acquired resistance,Absent,Absent,Descriptive genomic prevalence and clinical response,No predictive calibration or individual interval; descriptive rare-cohort evidence,Sequencing is sample-level; no methylation predictor,No,No methylation-to-HRD implementation,None,Matched-normal sequencing and clinically linked HRD evidence in a rare tumor,Very small cohort and no methylation array,Rare-cancer motivation while reinforcing allele-aware reference labels,Preserve component labels and do not infer allelic imbalance from total CN,Eleven advanced chordomas had matched tumor-normal sequencing; LOH regions exceeded 15 Mb and LST counted breaks between segments exceeding 10 Mb after small-segment filtering.,Rare-tumor relevance does not validate methylation-derived canonical HRDsum.,"Use as biological motivation, not as evidence to change the primary model."
